dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617504,10.300506,0.000149,0.014925,0.746269,37.313433,0.000054
0.020000,5.617505,10.300506,0.000150,0.000061,-0.743211,-74.473959,0.000050
0.020000,5.617507,10.300506,0.000153,0.000122,0.003064,37.313743,0.000043
0.020000,5.617511,10.300506,0.000157,0.000184,0.003077,0.000621,0.000032
0.020000,5.617516,10.300506,0.000162,0.000246,0.003095,0.000931,0.000018
0.020000,5.617638,10.300506,0.000283,0.006085,0.291948,14.442610,6.283185
0.020000,5.621227,10.300506,0.003873,0.179476,8.669565,418.880889,6.283163
0.020000,5.625415,10.300506,0.008061,0.209390,1.495698,-358.693360,6.283137
0.020000,5.630201,10.300506,0.012847,0.239306,1.495790,0.004587,6.283107
0.020000,5.635585,10.300505,0.018231,0.269222,1.495791,0.000032,6.283073
0.020000,5.641568,10.300505,0.024214,0.299140,1.495910,0.005974,6.283036
0.020000,5.648149,10.300503,0.030795,0.329058,1.495922,0.000595,6.282994
0.020000,5.655329,10.300502,0.037975,0.358978,1.495998,0.003781,6.282948
0.020000,5.663107,10.300500,0.045753,0.388900,1.496078,0.004042,6.282899
0.020000,5.671483,10.300497,0.054129,0.418823,1.496165,0.004334,6.282844
0.020000,5.680458,10.300494,0.063104,0.448748,1.496252,0.004346,6.282786
0.020000,5.690032,10.300490,0.072678,0.478675,1.496344,0.004583,6.282722
0.020000,5.700204,10.300485,0.082850,0.508604,1.496446,0.005123,6.282655
0.020000,5.710975,10.300479,0.093620,0.538535,1.496545,0.004968,6.282582
0.020000,5.722344,10.300471,0.104990,0.568468,1.496651,0.005267,6.282505
0.020000,5.734312,10.300463,0.116958,0.598403,1.496760,0.005453,6.282422
0.020000,5.746879,10.300453,0.129525,0.628342,1.496935,0.008734,6.282334
0.020000,5.760045,10.300441,0.142690,0.658282,1.497007,0.003645,6.282241
0.020000,5.773809,10.300427,0.156455,0.688226,1.497183,0.008770,6.282143
0.020000,5.788173,10.300411,0.170818,0.718171,1.497289,0.005309,6.282039
0.020000,5.803135,10.300393,0.185781,0.748121,1.497493,0.010213,6.281928
0.020000,5.818696,10.300373,0.201342,0.778073,1.497598,0.005260,6.281812
0.020000,5.834857,10.300350,0.217503,0.808029,1.497770,0.008565,6.281690
0.020000,5.851617,10.300324,0.234262,0.837988,1.497948,0.008932,6.281561
0.020000,5.868976,10.300294,0.251621,0.867950,1.498136,0.009401,6.281426
0.020000,5.886934,10.300261,0.269580,0.897916,1.498297,0.008004,6.281284
0.020000,5.905492,10.300225,0.288137,0.927886,1.498484,0.009355,6.281134
0.020000,5.924649,10.300184,0.307295,0.957860,1.498692,0.010429,6.280978
0.020000,5.944406,10.300139,0.327051,0.987838,1.498890,0.009896,6.280813
0.020000,5.964762,10.300089,0.347408,1.017819,1.499081,0.009537,6.280641
0.020000,5.985718,10.300034,0.368364,1.047805,1.499282,0.010057,6.280461
0.020000,6.007274,10.299973,0.389920,1.077796,1.499541,0.012942,6.280273
0.020000,6.029429,10.299906,0.412076,1.107790,1.499738,0.009837,6.280076
0.020000,6.052185,10.299833,0.434831,1.137790,1.499972,0.011715,6.279871
0.020000,6.075541,10.299753,0.458187,1.167794,1.500211,0.011932,6.279656
0.020000,6.099497,10.299666,0.482143,1.197804,1.500474,0.013190,6.279432
0.020000,6.124053,10.299571,0.506700,1.227817,1.500686,0.010572,6.279198
0.020000,6.149209,10.299467,0.531856,1.257836,1.500954,0.013429,6.278954
0.020000,6.174966,10.299355,0.557614,1.287862,1.501260,0.015276,6.278699
0.020000,6.201324,10.299233,0.583971,1.317891,1.501490,0.011486,6.278434
0.020000,6.228282,10.299102,0.610930,1.347927,1.501768,0.013910,6.278158
0.020000,6.255841,10.298959,0.638489,1.377968,1.502050,0.014132,6.277871
0.020000,6.284001,10.298805,0.666650,1.408014,1.502336,0.014288,6.277572
0.020000,6.312762,10.298639,0.695411,1.438068,1.502663,0.016329,6.277261
0.020000,6.342124,10.298461,0.724774,1.468127,1.502946,0.014149,6.276938
0.020000,6.372087,10.298269,0.754737,1.498191,1.503229,0.014176,6.276602
0.020000,6.402652,10.298062,0.785303,1.528262,1.503558,0.016410,6.276253
0.020000,6.433818,10.297840,0.816469,1.558341,1.503918,0.018013,6.275890
0.020000,6.465585,10.297603,0.848238,1.588424,1.504173,0.012766,6.275514
0.020000,6.497955,10.297348,0.880608,1.618516,1.504588,0.020729,6.275123
0.020000,6.530926,10.297076,0.913580,1.648613,1.504873,0.014275,6.274718
0.020000,6.564499,10.296784,0.947155,1.678718,1.505212,0.016923,6.274297
0.020000,6.598674,10.296473,0.981331,1.708830,1.505623,0.020591,6.273861
0.020000,6.633451,10.296141,1.016110,1.738949,1.505955,0.016598,6.273409
0.020000,6.668831,10.295787,1.051492,1.769075,1.506311,0.017804,6.272941
0.020000,6.704813,10.295409,1.087476,1.799209,1.506690,0.018928,6.272456
0.020000,6.741398,10.295008,1.124063,1.829351,1.507071,0.019067,6.271953
0.020000,6.778586,10.294580,1.161253,1.859500,1.507455,0.019194,6.271433
0.020000,6.816376,10.294126,1.199046,1.889657,1.507841,0.019307,6.270895
0.020000,6.854769,10.293643,1.237443,1.919823,1.508312,0.023518,6.270338
0.020000,6.893766,10.293131,1.276443,1.949996,1.508645,0.016650,6.269761
0.020000,6.933366,10.292588,1.316046,1.980176,1.509036,0.019548,6.269165
0.020000,6.973419,10.292014,1.356103,2.002866,1.134486,-18.727491,6.268552
0.020000,7.013626,10.291413,1.396315,2.010555,0.384438,-37.502398,6.267924
0.020000,7.053836,10.290787,1.436529,2.010745,0.009488,-18.747503,6.267286
0.020000,7.094049,10.290134,1.476748,2.010933,0.009429,-0.002943,6.266636
0.020000,7.134266,10.289455,1.516971,2.011123,0.009471,0.002094,6.265975
0.020000,7.174486,10.288749,1.557197,2.011312,0.009470,-0.000070,6.265303
0.020000,7.214709,10.288016,1.597427,2.011501,0.009453,-0.000814,6.264619
0.020000,7.254936,10.287256,1.637661,2.011691,0.009511,0.002883,6.263925
0.020000,7.295166,10.286466,1.677898,2.011880,0.009435,-0.003796,6.263219
0.020000,7.335399,10.285649,1.718140,2.012071,0.009553,0.005903,6.262501
0.020000,7.375635,10.284802,1.758385,2.012259,0.009417,-0.006782,6.261773
0.020000,7.415875,10.283925,1.798634,2.012451,0.009593,0.008804,6.261033
0.020000,7.456117,10.283018,1.838887,2.012640,0.009429,-0.008215,6.260282
0.020000,7.496363,10.282081,1.879143,2.012831,0.009577,0.007401,6.259519
0.020000,7.536612,10.281113,1.919404,2.013021,0.009470,-0.005380,6.258745
0.020000,7.576863,10.280113,1.959668,2.013212,0.009560,0.004545,6.257960
0.020000,7.617118,10.279081,1.999936,2.013402,0.009510,-0.002505,6.257164
0.020000,7.657376,10.278017,2.040208,2.013593,0.009543,0.001656,6.256356
0.020000,7.697637,10.276920,2.080484,2.013784,0.009551,0.000394,6.255537
0.020000,7.737900,10.275790,2.120763,2.013975,0.009526,-0.001252,6.254706
0.020000,7.778167,10.274626,2.161046,2.014167,0.009592,0.003302,6.253864
0.020000,7.818436,10.273428,2.201334,2.014357,0.009509,-0.004162,6.253011
0.020000,7.858708,10.272195,2.241625,2.014549,0.009633,0.006204,6.252147
0.020000,7.898983,10.270927,2.281919,2.014739,0.009492,-0.007062,6.251271
0.020000,7.939261,10.269623,2.322218,2.014933,0.009674,0.009085,6.250383
0.020000,7.979541,10.268283,2.362520,2.015123,0.009498,-0.008793,6.249485
0.020000,8.019824,10.266907,2.402827,2.015316,0.009668,0.008505,6.248575
0.020000,8.060109,10.265494,2.443137,2.015507,0.009531,-0.006822,6.247653
0.020000,8.100397,10.264043,2.483451,2.015700,0.009652,0.006031,6.246720
0.020000,8.140687,10.262554,2.523769,2.015891,0.009570,-0.004121,6.245776
0.020000,8.180980,10.261027,2.564090,2.016084,0.009636,0.003335,6.244820
0.020000,8.221275,10.259460,2.604416,2.016276,0.009607,-0.001458,6.243853
0.020000,8.261573,10.257855,2.644745,2.016468,0.009621,0.000682,6.242874
0.020000,8.301872,10.256210,2.685078,2.016661,0.009644,0.001153,6.241884
0.020000,8.342174,10.254524,2.725416,2.016853,0.009606,-0.001914,6.240882
0.020000,8.382478,10.252797,2.765757,2.017047,0.009680,0.003699,6.239869
0.020000,8.422784,10.251030,2.806101,2.017239,0.009591,-0.004442,6.238845
0.020000,8.463092,10.249220,2.846450,2.017433,0.009714,0.006169,6.237809
0.020000,8.503402,10.247369,2.886802,2.017625,0.009576,-0.006888,6.236761
0.020000,8.543714,10.245475,2.927159,2.017820,0.009747,0.008548,6.235702
0.020000,8.584028,10.243538,2.967519,2.018011,0.009575,-0.008627,6.234632
0.020000,8.624343,10.241557,3.007883,2.018206,0.009754,0.008983,6.233550
0.020000,8.664660,10.239532,3.048251,2.018398,0.009596,-0.007912,6.232457
0.020000,8.704979,10.237463,3.088623,2.018593,0.009740,0.007171,6.231352
0.020000,8.745299,10.235348,3.128999,2.018785,0.009627,-0.005614,6.230236
0.020000,8.785621,10.233188,3.169378,2.018980,0.009725,0.004890,6.229108
0.020000,8.825944,10.230983,3.209762,2.019173,0.009657,-0.003408,6.227968
0.020000,8.866269,10.228731,3.250149,2.019367,0.009711,0.002703,6.226817
0.020000,8.906595,10.226432,3.290540,2.019561,0.009685,-0.001304,6.225655
0.020000,8.946922,10.224085,3.330935,2.019755,0.009697,0.000621,6.224481
0.020000,8.987250,10.221691,3.371334,2.019949,0.009711,0.000687,6.223295
0.020000,9.027578,10.219249,3.411737,2.020143,0.009684,-0.001346,6.222098
0.020000,9.067908,10.216758,3.452144,2.020337,0.009735,0.002556,6.220890
0.020000,9.108239,10.214217,3.492555,2.020531,0.009672,-0.003190,6.219670
0.020000,9.148571,10.211627,3.532969,2.020726,0.009757,0.004294,6.218438
0.020000,9.188903,10.208987,3.573388,2.020919,0.009659,-0.004900,6.217195
0.020000,9.229235,10.206296,3.613810,2.021115,0.009777,0.005892,6.215940
0.020000,9.269568,10.203555,3.654236,2.021308,0.009648,-0.006470,6.214674
0.020000,9.309902,10.200761,3.694666,2.021504,0.009795,0.007342,6.213396
0.020000,9.350235,10.197915,3.735100,2.021697,0.009643,-0.007564,6.212107
0.020000,9.390569,10.195017,3.775538,2.021892,0.009797,0.007661,6.210806
0.020000,9.430903,10.192066,3.815980,2.022086,0.009654,-0.007149,6.209493
0.020000,9.471237,10.189062,3.856425,2.022281,0.009781,0.006357,6.208169
0.020000,9.511571,10.186003,3.896875,2.022475,0.009671,-0.005509,6.206833
0.020000,9.551904,10.182891,3.937328,2.022670,0.009765,0.004727,6.205486
0.020000,9.592237,10.179723,3.977785,2.022864,0.009685,-0.003997,6.204127
0.020000,9.632570,10.176500,4.018246,2.023059,0.009750,0.003225,6.202757
0.020000,9.672902,10.173221,4.058712,2.023252,0.009697,-0.002621,6.201375
0.020000,9.713233,10.169886,4.099180,2.023447,0.009734,0.001859,6.199982
0.020000,9.753564,10.166494,4.139653,2.023641,0.009707,-0.001385,6.198577
0.020000,9.793893,10.163045,4.180130,2.023836,0.009719,0.000634,6.197161
0.020000,9.834221,10.159538,4.220611,2.024030,0.009713,-0.000297,6.195733
0.020000,9.874549,10.155973,4.261095,2.024224,0.009705,-0.000444,6.194293
0.020000,9.914875,10.152350,4.301583,2.024418,0.009717,0.000638,6.192842
0.020000,9.955199,10.148667,4.342076,2.024612,0.009690,-0.001369,6.191379
0.020000,9.995522,10.144925,4.382572,2.024807,0.009718,0.001414,6.189905
0.020000,10.035843,10.141122,4.423072,2.025000,0.009676,-0.002136,6.188419
