dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617522,9.963956,0.000149,0.014925,0.746269,37.313433,0.000054
0.020000,5.617522,9.963956,0.000746,0.044776,1.492537,37.313433,0.000050
0.020000,5.617522,9.963956,0.001940,0.074627,1.492537,0.000000,0.000043
0.020000,5.617522,9.963956,0.003731,0.104478,1.492537,0.000000,0.000032
0.020000,5.617522,9.963956,0.006119,0.134328,1.492537,0.000000,0.000018
0.020000,5.617637,9.963956,0.009104,0.164179,1.492537,0.000000,6.283185
0.020000,5.621219,9.963956,0.012687,0.194030,1.492537,0.000000,6.283163
0.020000,5.625399,9.963956,0.016866,0.223881,1.492537,0.000000,6.283137
0.020000,5.630175,9.963956,0.021642,0.253731,1.492537,0.000000,6.283107
0.020000,5.635548,9.963955,0.027015,0.283582,1.492537,-0.000000,6.283073
0.020000,5.641518,9.963955,0.032985,0.313433,1.492537,0.000000,6.283036
0.020000,5.648085,9.963954,0.039552,0.343284,1.492537,-0.000000,6.282994
0.020000,5.655249,9.963952,0.046716,0.373134,1.492537,0.000000,6.282948
0.020000,5.663011,9.963950,0.054478,0.402985,1.492537,-0.000000,6.282899
0.020000,5.671369,9.963947,0.062836,0.432836,1.492537,0.000000,6.282844
0.020000,5.680324,9.963944,0.071791,0.462687,1.492537,0.000000,6.282786
0.020000,5.689876,9.963940,0.081343,0.492537,1.492537,-0.000000,6.282722
0.020000,5.700025,9.963935,0.091493,0.522388,1.492537,0.000000,6.282655
0.020000,5.710772,9.963929,0.102239,0.552239,1.492537,0.000000,6.282582
0.020000,5.722115,9.963921,0.113582,0.582090,1.492537,-0.000000,6.282505
0.020000,5.734055,9.963913,0.125522,0.611940,1.492537,0.000000,6.282422
0.020000,5.746593,9.963903,0.138060,0.641791,1.492537,0.000000,6.282334
0.020000,5.759727,9.963891,0.151194,0.671642,1.492537,0.000000,6.282241
0.020000,5.773458,9.963877,0.164925,0.701493,1.492537,-0.000000,6.282143
0.020000,5.787787,9.963862,0.179254,0.731343,1.492537,0.000000,6.282039
0.020000,5.802712,9.963844,0.194179,0.761194,1.492537,0.000000,6.281928
0.020000,5.818234,9.963823,0.209701,0.791045,1.492537,0.000000,6.281812
0.020000,5.834354,9.963800,0.225821,0.820896,1.492537,0.000000,6.281690
0.020000,5.851070,9.963774,0.242537,0.850746,1.492537,-0.000000,6.281561
0.020000,5.868384,9.963745,0.259851,0.880597,1.492537,0.000000,6.281426
0.020000,5.886294,9.963712,0.277761,0.910448,1.492537,0.000000,6.281284
0.020000,5.904801,9.963675,0.296269,0.940299,1.492537,0.000000,6.281134
0.020000,5.923906,9.963635,0.315373,0.970149,1.492537,-0.000000,6.280978
0.020000,5.943607,9.963590,0.335075,1.000000,1.492537,0.000000,6.280813
0.020000,5.963906,9.963540,0.355373,1.029851,1.492537,0.000000,6.280641
0.020000,5.984801,9.963485,0.376269,1.059701,1.492537,-0.000000,6.280461
0.020000,6.006294,9.963424,0.397761,1.089552,1.492537,0.000000,6.280273
0.020000,6.028383,9.963358,0.419851,1.119403,1.492537,-0.000000,6.280076
0.020000,6.051070,9.963285,0.442537,1.149254,1.492537,0.000000,6.279871
0.020000,6.074353,9.963205,0.465821,1.179104,1.492537,0.000000,6.279656
0.020000,6.098233,9.963118,0.489701,1.208955,1.492537,-0.000000,6.279432
0.020000,6.122711,9.963023,0.514179,1.238806,1.492537,0.000000,6.279198
0.020000,6.147785,9.962920,0.539254,1.268657,1.492537,0.000000,6.278954
0.020000,6.173457,9.962809,0.564925,1.298507,1.492537,-0.000000,6.278699
0.020000,6.199725,9.962687,0.591194,1.328358,1.492537,0.000000,6.278434
0.020000,6.226590,9.962556,0.618060,1.358209,1.492537,-0.000000,6.278158
0.020000,6.254053,9.962414,0.645522,1.388060,1.492537,0.000000,6.277871
0.020000,6.282112,9.962261,0.673582,1.417910,1.492537,0.000000,6.277572
0.020000,6.310768,9.962095,0.702239,1.447761,1.492537,-0.000000,6.277261
0.020000,6.340021,9.961917,0.731493,1.477612,1.492537,0.000000,6.276938
0.020000,6.369872,9.961726,0.761343,1.507463,1.492537,-0.000000,6.276602
0.020000,6.400319,9.961520,0.791791,1.537313,1.492537,0.000000,6.276253
0.020000,6.431363,9.961299,0.822836,1.567164,1.492537,0.000000,6.275890
0.020000,6.463003,9.961063,0.854478,1.597015,1.492537,-0.000000,6.275514
0.020000,6.495241,9.960809,0.886716,1.626866,1.492537,0.000000,6.275123
0.020000,6.528076,9.960538,0.919552,1.656716,1.492537,-0.000000,6.274718
