dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.617540,9.627406,0.000149,0.014925,0.746269,37.313433,0.000054
0.020000,5.617539,9.627406,0.000150,0.000061,-0.743211,-74.473959,0.000050
0.020000,5.617536,9.627406,0.000153,0.000122,0.003064,37.313743,0.000043
0.020000,5.617533,9.627406,0.000157,0.000184,0.003077,0.000621,0.000032
0.020000,5.617528,9.627406,0.000162,0.000246,0.003095,0.000931,0.000018
0.020000,5.617637,9.627406,0.000271,0.005468,0.261118,12.901129,6.283185
0.020000,5.621212,9.627406,0.003846,0.178734,8.663263,420.107240,6.283163
0.020000,5.625382,9.627406,0.008016,0.208520,1.489321,-358.697080,6.283137
0.020000,5.630148,9.627406,0.012782,0.238306,1.489326,0.000229,6.283107
0.020000,5.635510,9.627405,0.018144,0.268091,1.489227,-0.004928,6.283073
0.020000,5.641468,9.627405,0.024101,0.297876,1.489235,0.000369,6.283036
0.020000,5.648021,9.627404,0.030655,0.327658,1.489122,-0.005608,6.282994
0.020000,5.655170,9.627402,0.037803,0.357439,1.489061,-0.003056,6.282948
0.020000,5.662914,9.627400,0.045548,0.387219,1.488993,-0.003417,6.282899
0.020000,5.671254,9.627397,0.053888,0.416998,1.488918,-0.003747,6.282844
0.020000,5.680189,9.627394,0.062823,0.446774,1.488831,-0.004356,6.282786
0.020000,5.689720,9.627390,0.072354,0.476549,1.488736,-0.004742,6.282722
0.020000,5.699847,9.627385,0.082481,0.506322,1.488639,-0.004825,6.282655
0.020000,5.710569,9.627379,0.093202,0.536092,1.488527,-0.005602,6.282582
0.020000,5.721886,9.627372,0.104520,0.565860,1.488409,-0.005926,6.282505
0.020000,5.733798,9.627363,0.116432,0.595626,1.488282,-0.006363,6.282422
0.020000,5.746306,9.627353,0.128940,0.625390,1.488207,-0.003721,6.282334
0.020000,5.759409,9.627341,0.142043,0.655151,1.488019,-0.009408,6.282241
0.020000,5.773107,9.627327,0.155741,0.684909,1.487920,-0.004931,6.282143
0.020000,5.787401,9.627312,0.170034,0.714664,1.487741,-0.008999,6.282039
0.020000,5.802289,9.627294,0.184923,0.744417,1.487646,-0.004743,6.281928
0.020000,5.817772,9.627274,0.200406,0.774166,1.487440,-0.010296,6.281812
0.020000,5.833850,9.627251,0.216484,0.803911,1.487287,-0.007632,6.281690
0.020000,5.850524,9.627225,0.233157,0.833654,1.487129,-0.007893,6.281561
0.020000,5.867791,9.627195,0.250425,0.863393,1.486968,-0.008053,6.281426
