dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.436675,1.221579,0.000149,0.014925,0.746269,37.313433,1.569502
0.020000,5.436675,1.221467,0.000261,0.005603,-0.466143,-60.620574,1.569834
0.020000,5.436675,1.221243,0.000486,0.011219,0.280801,37.347187,1.570501
0.020000,5.436674,1.222169,0.001412,0.046307,1.754448,73.682363,1.571504
0.020000,5.436672,1.224105,0.003348,0.096808,2.525043,38.529735,1.572847
0.020000,5.436665,1.226522,0.005765,0.120836,1.201395,-66.182396,1.574535
0.020000,5.436651,1.229417,0.008660,0.144748,1.195601,-0.289715,1.576576
0.020000,5.436627,1.232787,0.012030,0.168529,1.189060,-0.327040,1.578978
0.020000,5.436591,1.236630,0.015873,0.192141,1.180577,-0.424140,1.581752
0.020000,5.436537,1.240940,0.020184,0.215539,1.169891,-0.534309,1.584908
0.020000,5.436461,1.245715,0.024959,0.238751,1.160615,-0.463788,1.588460
0.020000,5.436358,1.250946,0.030192,0.261647,1.144791,-0.791201,1.592424
0.020000,5.436223,1.256630,0.035877,0.284278,1.131575,-0.660807,1.596818
0.020000,5.436048,1.262759,0.042009,0.306573,1.114739,-0.841788,1.601660
0.020000,5.435828,1.269325,0.048578,0.328470,1.094840,-0.994977,1.606974
0.020000,5.435555,1.276319,0.055578,0.349964,1.074707,-1.006620,1.612785
0.020000,5.435220,1.283731,0.062998,0.370998,1.051712,-1.149767,1.619122
0.020000,5.434815,1.291551,0.070827,0.391487,1.024448,-1.363188,1.626015
0.020000,5.434330,1.299764,0.079054,0.411362,0.993717,-1.536553,1.633499
0.020000,5.433756,1.308356,0.087666,0.430593,0.961587,-1.606514,1.641615
0.020000,5.433081,1.317312,0.096648,0.449071,0.923896,-1.884562,1.650406
0.020000,5.432295,1.326614,0.105983,0.466742,0.883533,-2.018124,1.659922
0.020000,5.431385,1.336241,0.115652,0.483467,0.836270,-2.363162,1.670218
0.020000,5.430339,1.346169,0.125635,0.499154,0.784304,-2.598272,1.681354
0.020000,5.429145,1.356373,0.135909,0.513722,0.728400,-2.795232,1.693399
0.020000,5.427788,1.366825,0.146449,0.526977,0.662772,-3.281402,1.706431
0.020000,5.426257,1.377492,0.157225,0.538808,0.591540,-3.561587,1.720534
0.020000,5.424537,1.388337,0.168206,0.549018,0.510519,-4.051032,1.735803
0.020000,5.422616,1.399319,0.179355,0.557460,0.422077,-4.422126,1.752345
0.020000,5.420481,1.410394,0.190633,0.563905,0.322279,-4.989879,1.770277
0.020000,5.418122,1.421509,0.201996,0.568155,0.212469,-5.490493,1.789731
0.020000,5.415531,1.432610,0.213396,0.569981,0.091315,-6.057697,1.810850
0.020000,5.412700,1.443636,0.224778,0.569145,-0.041817,-6.656641,1.833792
0.020000,5.409626,1.454518,0.236087,0.565414,-0.186506,-7.234449,1.858731
0.020000,5.406311,1.465186,0.247258,0.558569,-0.342277,-7.788517,1.885848
0.020000,5.402761,1.475565,0.258227,0.548466,-0.505147,-8.143508,1.915342
0.020000,5.398989,1.485578,0.268927,0.534963,-0.675142,-8.499744,1.947411
0.020000,5.395015,1.495147,0.279289,0.518104,-0.842982,-8.392026,1.982255
0.020000,5.390862,1.504202,0.289251,0.498098,-1.000254,-7.863609,2.020062
0.020000,5.386562,1.512682,0.298758,0.475368,-1.136542,-6.814397,2.060994
0.020000,5.382147,1.520541,0.307772,0.450717,-1.232521,-4.798937,2.105164
0.020000,5.377646,1.527759,0.316279,0.425336,-1.269073,-1.827610,2.152616
0.020000,5.373075,1.534346,0.324297,0.400895,-1.222056,2.350875,2.203295
0.020000,5.368428,1.540348,0.331888,0.379523,-1.068557,7.674948,2.257017
0.020000,5.363663,1.545846,0.339163,0.363751,-0.788611,13.997274,2.313450
0.020000,5.358694,1.550952,0.346288,0.356277,-0.373720,20.744563,2.372101
0.020000,5.353378,1.555799,0.353482,0.359674,0.169842,27.178124,2.432324
0.020000,5.347524,1.560519,0.361002,0.376011,0.816874,32.351577,2.493350
0.020000,5.340894,1.565225,0.369132,0.406490,1.523921,35.352360,2.554339
0.020000,5.333231,1.569992,0.378156,0.451223,2.236669,35.637377,2.614442
0.020000,5.324280,1.574849,0.388340,0.509215,2.899610,33.147061,2.672873
0.020000,5.313810,1.579776,0.399912,0.578559,3.467178,28.378417,2.728957
0.020000,5.301637,1.584712,0.413047,0.656770,3.910584,22.170285,2.782167
0.020000,5.287631,1.589567,0.427870,0.741177,4.220340,15.487803,2.832135
0.020000,5.271718,1.594237,0.444455,0.829238,4.403055,9.135736,2.878644
0.020000,5.253873,1.598620,0.462831,0.918784,4.477266,3.710563,2.921605
0.020000,5.234111,1.602619,0.482993,1.008091,4.465377,-0.594465,2.961034
0.020000,5.212480,1.606156,0.504911,1.095935,4.392202,-3.658741,2.997017
0.020000,5.189043,1.609167,0.528541,1.181496,4.278049,-5.707636,3.029689
0.020000,5.163874,1.611609,0.553828,1.264321,4.141244,-6.840273,3.059214
0.020000,5.137053,1.613455,0.580712,1.344230,3.995457,-7.289330,3.085764
0.020000,5.108656,1.614695,0.609137,1.421231,3.850026,-7.271554,3.109513
0.020000,5.078753,1.615330,0.639046,1.495472,3.712057,-6.898456,3.130624
0.020000,5.047409,1.615373,0.670390,1.567194,3.586122,-6.296759,3.149247
0.020000,5.014679,1.614848,0.703124,1.636697,3.475155,-5.548325,3.165514
0.020000,4.980610,1.613786,0.737211,1.704317,3.380994,-4.708056,3.179537
0.020000,4.945236,1.612226,0.772619,1.770407,3.304476,-3.825891,3.191406
0.020000,4.908722,1.610219,0.809187,1.828432,2.901277,-20.159963,3.201158
0.020000,4.871374,1.607842,0.846611,1.871205,2.138629,-38.132383,3.208812
0.020000,4.833361,1.605169,0.884718,1.905332,1.706367,-21.613122,3.214437
0.020000,4.794707,1.602270,0.923480,1.938106,1.638663,-3.385176,3.218115
0.020000,4.755426,1.599217,0.962880,1.970001,1.594757,-2.195328,3.219898
0.020000,4.715519,1.596081,1.002910,2.001475,1.573692,-1.053267,3.219811
0.020000,4.678391,1.593189,1.040150,1.862036,-6.971921,-427.280614,3.222575
0.020000,4.648471,1.590315,1.070208,1.502881,-17.957735,-549.290718,3.252114
0.020000,4.618631,1.586557,1.100284,1.503812,0.046542,900.213843,3.281597
0.020000,4.588851,1.581914,1.130424,1.507000,0.159408,5.643329,3.310891
0.020000,4.559111,1.576384,1.160674,1.512471,0.273510,5.705087,3.339860
0.020000,4.529392,1.569970,1.191077,1.520172,0.385061,5.577560,3.368372
0.020000,4.499674,1.562672,1.221678,1.530028,0.492796,5.386754,3.396298
0.020000,4.469940,1.554494,1.252516,1.541910,0.594132,5.066778,3.423517
0.020000,4.440173,1.545441,1.283629,1.555658,0.687403,4.663535,3.449920
0.020000,4.410358,1.535522,1.315051,1.571086,0.771394,4.199582,3.475407
