dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.773225,1.221143,0.000149,0.014925,0.746269,37.313433,1.569502
0.020000,5.773225,1.221143,0.000746,0.044776,1.492537,37.313433,1.569834
0.020000,5.773225,1.221143,0.001940,0.074627,1.492537,0.000000,1.570501
0.020000,5.773224,1.222407,0.003731,0.104478,1.492537,0.000000,1.571504
0.020000,5.773221,1.224795,0.006119,0.134328,1.492537,0.000000,1.572847
0.020000,5.773212,1.227780,0.009104,0.164179,1.492537,0.000000,1.574535
0.020000,5.773195,1.231362,0.012687,0.194030,1.492537,0.000000,1.576576
0.020000,5.773166,1.235541,0.016866,0.223881,1.492537,0.000000,1.578978
0.020000,5.773120,1.240317,0.021642,0.253731,1.492537,0.000000,1.581752
0.020000,5.773053,1.245689,0.027015,0.283582,1.492537,-0.000000,1.584908
0.020000,5.772958,1.251659,0.032985,0.313433,1.492537,0.000000,1.588460
0.020000,5.772829,1.258225,0.039552,0.343284,1.492537,-0.000000,1.592424
0.020000,5.772659,1.265387,0.046716,0.373134,1.492537,0.000000,1.596818
0.020000,5.772438,1.273145,0.054478,0.402985,1.492537,-0.000000,1.601660
0.020000,5.772158,1.281498,0.062836,0.432836,1.492537,0.000000,1.606974
0.020000,5.771808,1.290446,0.071791,0.462687,1.492537,0.000000,1.612785
0.020000,5.771377,1.299989,0.081343,0.492537,1.492537,-0.000000,1.619122
0.020000,5.770852,1.310125,0.091493,0.522388,1.492537,0.000000,1.626015
0.020000,5.770219,1.320853,0.102239,0.552239,1.492537,0.000000,1.633499
0.020000,5.769462,1.332171,0.113582,0.582090,1.492537,-0.000000,1.641615
0.020000,5.768565,1.344077,0.125522,0.611940,1.492537,0.000000,1.650406
0.020000,5.767509,1.356570,0.138060,0.641791,1.492537,0.000000,1.659922
0.020000,5.766273,1.369646,0.151194,0.671642,1.492537,0.000000,1.670218
0.020000,5.764835,1.383301,0.164925,0.701493,1.492537,-0.000000,1.681354
0.020000,5.763169,1.397532,0.179254,0.731343,1.492537,0.000000,1.693399
0.020000,5.761247,1.412333,0.194179,0.761194,1.492537,0.000000,1.706431
0.020000,5.759041,1.427698,0.209701,0.791045,1.492537,0.000000,1.720534
0.020000,5.756516,1.443618,0.225821,0.820896,1.492537,0.000000,1.735803
0.020000,5.753634,1.460084,0.242537,0.850746,1.492537,-0.000000,1.752345
0.020000,5.750357,1.477085,0.259851,0.880597,1.492537,0.000000,1.770277
0.020000,5.746639,1.494604,0.277761,0.910448,1.492537,0.000000,1.789731
0.020000,5.742430,1.512627,0.296269,0.940299,1.492537,0.000000,1.810850
0.020000,5.737678,1.531130,0.315373,0.970149,1.492537,-0.000000,1.833792
0.020000,5.732321,1.550089,0.335075,1.000000,1.492537,0.000000,1.858731
0.020000,5.726296,1.569472,0.355373,1.029851,1.492537,0.000000,1.885848
0.020000,5.719532,1.589242,0.376269,1.059701,1.492537,-0.000000,1.915342
0.020000,5.711952,1.609352,0.397761,1.089552,1.492537,0.000000,1.947411
0.020000,5.703476,1.629749,0.419851,1.119403,1.492537,-0.000000,1.982255
0.020000,5.694015,1.650367,0.442537,1.149254,1.492537,0.000000,2.020062
0.020000,5.683480,1.671130,0.465821,1.179104,1.492537,0.000000,2.060994
0.020000,5.671779,1.691945,0.489701,1.208955,1.492537,-0.000000,2.105164
0.020000,5.658822,1.712709,0.514179,1.238806,1.492537,0.000000,2.152616
0.020000,5.644520,1.733302,0.539254,1.268657,1.492537,0.000000,2.203295
0.020000,5.628799,1.753592,0.564925,1.298507,1.492537,-0.000000,2.257017
0.020000,5.611592,1.773436,0.591194,1.328358,1.492537,0.000000,2.313450
0.020000,5.592855,1.792684,0.618060,1.358209,1.492537,-0.000000,2.372101
0.020000,5.572566,1.811187,0.645522,1.388060,1.492537,0.000000,2.432324
0.020000,5.550728,1.828799,0.673582,1.417910,1.492537,0.000000,2.493350
0.020000,5.527369,1.845391,0.702239,1.447761,1.492537,-0.000000,2.554339
0.020000,5.502540,1.860853,0.731493,1.477612,1.492537,0.000000,2.614442
0.020000,5.476314,1.875101,0.761343,1.507463,1.492537,-0.000000,2.672873
0.020000,5.448775,1.888078,0.791791,1.537313,1.492537,0.000000,2.728957
0.020000,5.420014,1.899756,0.822836,1.567164,1.492537,0.000000,2.782167
0.020000,5.390125,1.910130,0.854478,1.597015,1.492537,-0.000000,2.832135
0.020000,5.359197,1.919219,0.886716,1.626866,1.492537,0.000000,2.878644
0.020000,5.327314,1.927059,0.919552,1.656716,1.492537,-0.000000,2.921605
0.020000,5.294549,1.933698,0.952985,1.686567,1.492537,0.000000,2.961034
0.020000,5.260968,1.939195,0.987015,1.716418,1.492537,0.000000,2.997017
0.020000,5.226625,1.943612,1.021642,1.746269,1.492537,-0.000000,3.029689
0.020000,5.191568,1.947018,1.056866,1.776119,1.492537,0.000000,3.059214
0.020000,5.155833,1.949481,1.092687,1.805970,1.492537,0.000000,3.085764
0.020000,5.119450,1.951072,1.129104,1.835821,1.492537,-0.000000,3.109513
0.020000,5.082444,1.951860,1.166119,1.865672,1.492537,0.000000,3.130624
0.020000,5.044833,1.951913,1.203731,1.895522,1.492537,-0.000000,3.149247
0.020000,5.006629,1.951302,1.241940,1.925373,1.492537,0.000000,3.165514
0.020000,4.967843,1.950094,1.280746,1.955224,1.492537,0.000000,3.179537
0.020000,4.928478,1.948358,1.320149,1.985075,1.492537,-0.000000,3.191406
0.020000,4.888687,1.946173,1.360000,2.000000,0.746269,-37.313433,3.201158
0.020000,4.848768,1.943632,1.400000,2.000000,0.000000,-37.313433,3.208812
0.020000,4.808867,1.940826,1.440000,2.000000,0.000000,0.000000,3.214437
0.020000,4.768979,1.937835,1.480000,2.000000,0.000000,0.000000,3.218115
0.020000,4.729099,1.934735,1.520000,2.000000,0.000000,0.000000,3.219898
0.020000,4.689222,1.931602,1.560000,2.000000,0.000000,0.000000,3.219811
0.020000,4.651166,1.928636,1.600000,2.000000,0.000000,0.000000,3.222575
0.020000,4.611351,1.924812,1.640000,2.000000,0.000000,0.000000,3.252114
0.020000,4.571666,1.919814,1.680000,2.000000,0.000000,0.000000,3.281597
0.020000,4.532145,1.913652,1.720000,2.000000,0.000000,0.000000,3.310891
0.020000,4.492820,1.906341,1.760000,2.000000,0.000000,0.000000,3.339860
0.020000,4.453722,1.897902,1.800000,2.000000,0.000000,0.000000,3.368372
0.020000,4.414877,1.888364,1.840000,2.000000,0.000000,0.000000,3.396298
0.020000,4.376310,1.877757,1.880000,2.000000,0.000000,0.000000,3.423517
0.020000,4.338042,1.866120,1.920000,2.000000,0.000000,0.000000,3.449920
0.020000,4.300088,1.853494,1.960000,2.000000,0.000000,0.000000,3.475407
0.020000,4.262461,1.839924,2.000000,2.000000,0.000000,0.000000,3.499889
0.020000,4.225170,1.825456,2.040000,2.000000,0.000000,0.000000,3.523291
0.020000,4.188219,1.810141,2.080000,2.000000,0.000000,0.000000,3.545552
0.020000,4.151609,1.794028,2.120000,2.000000,0.000000,0.000000,3.566620
0.020000,4.115335,1.777170,2.160000,2.000000,0.000000,0.000000,3.586457
0.020000,4.079392,1.759619,2.200000,2.000000,0.000000,0.000000,3.605034
0.020000,4.043770,1.741425,2.240000,2.000000,0.000000,0.000000,3.622330
0.020000,4.008455,1.722641,2.280000,2.000000,0.000000,0.000000,3.638334
0.020000,3.973433,1.703317,2.320000,2.000000,0.000000,0.000000,3.653040
0.020000,3.938686,1.683502,2.360000,2.000000,0.000000,0.000000,3.666447
0.020000,3.904195,1.663246,2.400000,2.000000,0.000000,0.000000,3.678558
0.020000,3.869938,1.642596,2.440000,2.000000,0.000000,0.000000,3.689379
