dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.109774,1.220707,0.000149,0.014925,0.746269,37.313433,1.569502
0.020000,6.109775,1.220819,0.000261,0.005603,-0.466143,-60.620574,1.569834
0.020000,6.109775,1.221044,0.000486,0.011219,0.280801,37.347187,1.570501
0.020000,6.109774,1.222645,0.002087,0.080057,3.441905,158.055208,1.571504
0.020000,6.109770,1.225485,0.004927,0.141997,3.097035,-17.243505,1.572847
0.020000,6.109760,1.229038,0.008480,0.177661,1.783168,-65.693371,1.574535
0.020000,6.109740,1.233307,0.012749,0.213440,1.788943,0.288751,1.576576
0.020000,6.109705,1.238294,0.017736,0.249375,1.796783,0.392046,1.578978
0.020000,6.109650,1.244004,0.023446,0.285477,1.805099,0.415789,1.581752
0.020000,6.109570,1.250438,0.029881,0.321751,1.813689,0.429507,1.584908
0.020000,6.109456,1.257603,0.037047,0.358315,1.828207,0.725874,1.588460
0.020000,6.109301,1.265503,0.044948,0.395056,1.837021,0.440688,1.592424
0.020000,6.109095,1.274143,0.053591,0.432140,1.854198,0.858886,1.596818
0.020000,6.108828,1.283531,0.062982,0.469555,1.870791,0.829654,1.601660
0.020000,6.108488,1.293671,0.073128,0.507316,1.888027,0.861797,1.606974
0.020000,6.108062,1.304574,0.084039,0.545532,1.910797,1.138485,1.612785
0.020000,6.107534,1.316247,0.095724,0.584246,1.935705,1.245371,1.619122
0.020000,6.106889,1.328699,0.108193,0.623470,1.961189,1.274230,1.626015
0.020000,6.106108,1.341941,0.121458,0.663254,1.989222,1.401667,1.633499
0.020000,6.105169,1.355985,0.135533,0.703736,2.024080,1.742878,1.641615
0.020000,6.104050,1.370841,0.150432,0.744938,2.060105,1.801251,1.650406
0.020000,6.102723,1.386525,0.166172,0.787002,2.103209,2.155174,1.659922
0.020000,6.101161,1.403051,0.182771,0.829956,2.147686,2.223895,1.670218
0.020000,6.099330,1.420433,0.200250,0.873929,2.198659,2.548621,1.681354
0.020000,6.097192,1.438691,0.218632,0.919116,2.259374,3.035749,1.693399
0.020000,6.094707,1.457841,0.237943,0.965547,2.321539,3.108239,1.706431
0.020000,6.091825,1.477904,0.258212,1.013438,2.394529,3.649523,1.720534
0.020000,6.088494,1.498899,0.279470,1.062897,2.472984,3.922764,1.735803
0.020000,6.084653,1.520849,0.301753,1.114174,2.563808,4.541181,1.752345
0.020000,6.080233,1.543775,0.325101,1.167411,2.661880,4.903580,1.770277
0.020000,6.075155,1.567700,0.349558,1.222853,2.772111,5.511551,1.789731
0.020000,6.069330,1.592643,0.375173,1.280730,2.893816,6.085266,1.810850
0.020000,6.062655,1.618625,0.401998,1.341263,3.026680,6.643230,1.833792
0.020000,6.055016,1.645660,0.430092,1.404687,3.171161,7.224019,1.858731
0.020000,6.046281,1.673757,0.459516,1.471191,3.325228,7.703373,1.885848
0.020000,6.036303,1.702918,0.490337,1.541033,3.492104,8.343803,1.915342
0.020000,6.024915,1.733127,0.522620,1.614194,3.658063,8.297936,1.947411
0.020000,6.011937,1.764351,0.556435,1.690714,3.825984,8.396030,1.982255
0.020000,5.997168,1.796533,0.591844,1.770442,3.986373,8.019452,2.020062
0.020000,5.980398,1.829577,0.628900,1.852821,4.118988,6.630783,2.060994
0.020000,5.961411,1.863349,0.667643,1.937145,4.216205,4.860808,2.105164
0.020000,5.939997,1.897658,0.708087,2.022184,4.251934,1.786465,2.152616
0.020000,5.915966,1.932257,0.750212,2.106298,4.205671,-2.313127,2.203295
0.020000,5.889169,1.966836,0.793959,2.187315,4.050857,-7.740698,2.257017
0.020000,5.859520,2.001026,0.839214,2.262762,3.772379,-13.923913,2.313450
0.020000,5.827017,2.034416,0.885812,2.329910,3.357373,-20.750316,2.372101
0.020000,5.791754,2.066574,0.933536,2.386175,2.813284,-27.204440,2.432324
0.020000,5.753932,2.097078,0.982126,2.429520,2.167214,-32.303499,2.493350
0.020000,5.713843,2.125557,1.031301,2.458733,1.460643,-35.328558,2.554339
0.020000,5.671850,2.151714,1.080775,2.473707,0.748735,-35.595379,2.614442
