dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.682235,3.403558,0.000149,0.014925,0.746269,37.313433,6.283160
0.020000,1.682233,3.403558,0.000151,0.000099,-0.741334,-74.380140,6.283166
0.020000,1.682229,3.403558,0.000155,0.000197,0.004909,37.312155,6.283178
0.020000,1.683223,3.403558,0.001150,0.049732,2.476768,123.592942,0.000010
0.020000,1.685604,3.403558,0.003530,0.119013,3.464056,49.364388,0.000033
0.020000,1.688579,3.403559,0.006505,0.148770,1.487858,-98.809871,0.000062
0.020000,1.692150,3.403559,0.010076,0.178530,1.487986,0.006400,0.000096
0.020000,1.696316,3.403559,0.014242,0.208293,1.488140,0.007671,0.000135
0.020000,1.701077,3.403560,0.019003,0.238059,1.488318,0.008933,0.000179
0.020000,1.706433,3.403561,0.024360,0.267830,1.488522,0.010211,0.000229
0.020000,1.712385,3.403563,0.030312,0.297605,1.488753,0.011512,0.000282
0.020000,1.718933,3.403565,0.036860,0.327385,1.489008,0.012752,0.000340
0.020000,1.726077,3.403567,0.044003,0.357171,1.489290,0.014100,0.000402
0.020000,1.733816,3.403571,0.051742,0.386963,1.489595,0.015289,0.000467
0.020000,1.742151,3.403575,0.060077,0.416761,1.489928,0.016615,0.000535
0.020000,1.751082,3.403580,0.069009,0.446567,1.490285,0.017865,0.000606
0.020000,1.760610,3.403586,0.078536,0.476380,1.490669,0.019199,0.000679
0.020000,1.770734,3.403593,0.088660,0.506202,1.491077,0.020408,0.000754
0.020000,1.781455,3.403602,0.099381,0.536032,1.491512,0.021730,0.000830
0.020000,1.792772,3.403612,0.110698,0.565872,1.491971,0.022983,0.000907
0.020000,1.804686,3.403623,0.122613,0.595721,1.492457,0.024280,0.000984
0.020000,1.817198,3.403636,0.135125,0.625580,1.492967,0.025502,0.001061
0.020000,1.830307,3.403650,0.148234,0.655450,1.493504,0.026863,0.001136
0.020000,1.844014,3.403666,0.161940,0.685331,1.494066,0.028080,0.001209
0.020000,1.858318,3.403684,0.176245,0.715225,1.494654,0.029375,0.001280
0.020000,1.873221,3.403704,0.191147,0.745130,1.495267,0.030655,0.001348
0.020000,1.888722,3.403725,0.206648,0.775048,1.495905,0.031910,0.001412
0.020000,1.904821,3.403748,0.222748,0.804979,1.496569,0.033215,0.001470
0.020000,1.921520,3.403773,0.239446,0.834925,1.497259,0.034482,0.001524
0.020000,1.938817,3.403800,0.256744,0.864884,1.497974,0.035751,0.001570
0.020000,1.956715,3.403829,0.274641,0.894858,1.498714,0.037033,0.001610
0.020000,1.975211,3.403859,0.293138,0.924848,1.499481,0.038314,0.001641
0.020000,1.994309,3.403890,0.312235,0.954853,1.500272,0.039587,0.001663
0.020000,2.014006,3.403923,0.331933,0.984875,1.501090,0.040865,0.001675
0.020000,2.034304,3.403957,0.352231,1.014914,1.501933,0.042143,0.001676
0.020000,2.055204,3.403992,0.373130,1.044970,1.502801,0.043422,0.001664
0.020000,2.076704,3.404028,0.394631,1.075044,1.503695,0.044701,0.001639
0.020000,2.098807,3.404063,0.416734,1.105136,1.504615,0.045977,0.001600
0.020000,2.121512,3.404099,0.439439,1.135247,1.505560,0.047257,0.001546
0.020000,2.144820,3.404134,0.462746,1.165378,1.506531,0.048553,0.001474
0.020000,2.168730,3.404169,0.486657,1.195528,1.507527,0.049802,0.001385
0.020000,2.193244,3.404201,0.511171,1.225699,1.508549,0.051109,0.001277
0.020000,2.218362,3.404232,0.536289,1.255891,1.509597,0.052387,0.001149
0.020000,2.244084,3.404260,0.562011,1.286105,1.510670,0.053652,0.000999
0.020000,2.270411,3.404284,0.588338,1.316340,1.511769,0.054979,0.000826
0.020000,2.297343,3.404303,0.615270,1.346598,1.512893,0.056205,0.000629
0.020000,2.324880,3.404318,0.642807,1.376879,1.514044,0.057535,0.000407
0.020000,2.353024,3.404326,0.670951,1.407183,1.515220,0.058800,0.000157
0.020000,2.381774,3.404326,0.699701,1.437512,1.516422,0.060085,6.283065
0.020000,2.411131,3.404318,0.729058,1.467865,1.517650,0.061400,6.282757
0.020000,2.441096,3.404300,0.759023,1.498243,1.518903,0.062666,6.282418
0.020000,2.471669,3.404271,0.789596,1.528646,1.520182,0.063935,6.282046
0.020000,2.502851,3.404229,0.820778,1.559076,1.521488,0.065301,6.281640
0.020000,2.534641,3.404173,0.852568,1.589532,1.522817,0.066470,6.281197
0.020000,2.567042,3.404101,0.884969,1.620016,1.524175,0.067898,6.280718
0.020000,2.600052,3.404011,0.917979,1.650527,1.525557,0.069073,6.280198
0.020000,2.633673,3.403902,0.951601,1.681066,1.526965,0.070407,6.279638
0.020000,2.667906,3.403770,0.985833,1.711634,1.528401,0.071786,6.279036
0.020000,2.702750,3.403614,1.020678,1.742232,1.529858,0.072882,6.278389
0.020000,2.738207,3.403432,1.056135,1.772858,1.531345,0.074347,6.277695
0.020000,2.774276,3.403221,1.092205,1.803516,1.532857,0.075593,6.276954
0.020000,2.810960,3.402978,1.128889,1.834203,1.534394,0.076834,6.276163
0.020000,2.848257,3.402700,1.166188,1.864923,1.535955,0.078081,6.275321
0.020000,2.886169,3.402385,1.204101,1.895674,1.537546,0.079532,6.274425
0.020000,2.924697,3.402029,1.242630,1.926457,1.539158,0.080622,6.273474
0.020000,2.963840,3.401630,1.281776,1.957273,1.540798,0.081965,6.272465
0.020000,3.003600,3.401182,1.321538,1.988122,1.542464,0.083308,6.271397
0.020000,3.043826,3.400686,1.361768,2.011470,1.167400,-18.753182,6.270272
