dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.682226,3.067008,0.000149,0.014925,0.746269,37.313433,6.283160
0.020000,1.682226,3.067008,0.000746,0.044776,1.492537,37.313433,6.283166
0.020000,1.682226,3.067008,0.001940,0.074627,1.492537,0.000000,6.283178
0.020000,1.683227,3.067008,0.003731,0.104478,1.492537,0.000000,0.000010
0.020000,1.685615,3.067008,0.006119,0.134328,1.492537,0.000000,0.000033
0.020000,1.688600,3.067009,0.009104,0.164179,1.492537,0.000000,0.000062
0.020000,1.692182,3.067009,0.012687,0.194030,1.492537,0.000000,0.000096
0.020000,1.696361,3.067009,0.016866,0.223881,1.492537,0.000000,0.000135
0.020000,1.701137,3.067010,0.021642,0.253731,1.492537,0.000000,0.000179
0.020000,1.706510,3.067011,0.027015,0.283582,1.492537,-0.000000,0.000229
0.020000,1.712480,3.067013,0.032985,0.313433,1.492537,0.000000,0.000282
0.020000,1.719048,3.067015,0.039552,0.343284,1.492537,-0.000000,0.000340
0.020000,1.726212,3.067017,0.046716,0.373134,1.492537,0.000000,0.000402
0.020000,1.733973,3.067021,0.054478,0.402985,1.492537,-0.000000,0.000467
0.020000,1.742331,3.067025,0.062836,0.432836,1.492537,0.000000,0.000535
0.020000,1.751286,3.067030,0.071791,0.462687,1.492537,0.000000,0.000606
0.020000,1.760839,3.067036,0.081343,0.492537,1.492537,-0.000000,0.000679
0.020000,1.770988,3.067044,0.091493,0.522388,1.492537,0.000000,0.000754
0.020000,1.781734,3.067052,0.102239,0.552239,1.492537,0.000000,0.000830
0.020000,1.793077,3.067062,0.113582,0.582090,1.492537,-0.000000,0.000907
0.020000,1.805018,3.067073,0.125522,0.611940,1.492537,0.000000,0.000984
0.020000,1.817555,3.067086,0.138060,0.641791,1.492537,0.000000,0.001061
0.020000,1.830689,3.067100,0.151194,0.671642,1.492537,0.000000,0.001136
0.020000,1.844421,3.067117,0.164925,0.701493,1.492537,-0.000000,0.001209
0.020000,1.858749,3.067134,0.179254,0.731343,1.492537,0.000000,0.001280
0.020000,1.873674,3.067154,0.194179,0.761194,1.492537,0.000000,0.001348
0.020000,1.889197,3.067175,0.209701,0.791045,1.492537,0.000000,0.001412
0.020000,1.905316,3.067199,0.225821,0.820896,1.492537,0.000000,0.001470
0.020000,1.922033,3.067224,0.242537,0.850746,1.492537,-0.000000,0.001524
0.020000,1.939346,3.067251,0.259851,0.880597,1.492537,0.000000,0.001570
0.020000,1.957256,3.067279,0.277761,0.910448,1.492537,0.000000,0.001610
0.020000,1.975764,3.067309,0.296269,0.940299,1.492537,0.000000,0.001641
0.020000,1.994868,3.067341,0.315373,0.970149,1.492537,-0.000000,0.001663
0.020000,2.014570,3.067374,0.335075,1.000000,1.492537,0.000000,0.001675
0.020000,2.034868,3.067408,0.355373,1.029851,1.492537,0.000000,0.001676
0.020000,2.055764,3.067443,0.376269,1.059701,1.492537,-0.000000,0.001664
0.020000,2.077256,3.067478,0.397761,1.089552,1.492537,0.000000,0.001639
0.020000,2.099346,3.067514,0.419851,1.119403,1.492537,-0.000000,0.001600
0.020000,2.122032,3.067550,0.442537,1.149254,1.492537,0.000000,0.001546
0.020000,2.145316,3.067585,0.465821,1.179104,1.492537,0.000000,0.001474
0.020000,2.169196,3.067619,0.489701,1.208955,1.492537,-0.000000,0.001385
0.020000,2.193674,3.067652,0.514179,1.238806,1.492537,0.000000,0.001277
0.020000,2.218749,3.067682,0.539254,1.268657,1.492537,0.000000,0.001149
0.020000,2.244420,3.067710,0.564925,1.298507,1.492537,-0.000000,0.000999
0.020000,2.270689,3.067734,0.591194,1.328358,1.492537,0.000000,0.000826
0.020000,2.297555,3.067753,0.618060,1.358209,1.492537,-0.000000,0.000629
0.020000,2.325017,3.067768,0.645522,1.388060,1.492537,0.000000,0.000407
0.020000,2.353077,3.067776,0.673582,1.417910,1.492537,0.000000,0.000157
0.020000,2.381734,3.067776,0.702239,1.447761,1.492537,-0.000000,6.283065
0.020000,2.410987,3.067768,0.731493,1.477612,1.492537,0.000000,6.282757
0.020000,2.440838,3.067750,0.761343,1.507463,1.492537,-0.000000,6.282418
0.020000,2.471286,3.067721,0.791791,1.537313,1.492537,0.000000,6.282046
0.020000,2.502331,3.067680,0.822836,1.567164,1.492537,0.000000,6.281640
0.020000,2.533972,3.067624,0.854478,1.597015,1.492537,-0.000000,6.281197
0.020000,2.566211,3.067552,0.886716,1.626866,1.492537,0.000000,6.280718
0.020000,2.599047,3.067463,0.919552,1.656716,1.492537,-0.000000,6.280198
0.020000,2.632479,3.067354,0.952985,1.686567,1.492537,0.000000,6.279638
0.020000,2.666509,3.067223,0.987015,1.716418,1.492537,0.000000,6.279036
0.020000,2.701136,3.067068,1.021642,1.746269,1.492537,-0.000000,6.278389
0.020000,2.736359,3.066887,1.056866,1.776119,1.492537,0.000000,6.277695
0.020000,2.772179,3.066677,1.092687,1.805970,1.492537,0.000000,6.276954
0.020000,2.808596,3.066436,1.129104,1.835821,1.492537,-0.000000,6.276163
0.020000,2.845610,3.066161,1.166119,1.865672,1.492537,0.000000,6.275321
0.020000,2.883221,3.065848,1.203731,1.895522,1.492537,-0.000000,6.274425
0.020000,2.921428,3.065495,1.241940,1.925373,1.492537,0.000000,6.273474
0.020000,2.960232,3.065099,1.280746,1.955224,1.492537,0.000000,6.272465
0.020000,2.999633,3.064656,1.320149,1.985075,1.492537,-0.000000,6.271397
0.020000,3.039480,3.064164,1.360000,2.000000,0.746269,-37.313433,6.270272
0.020000,3.079477,3.063624,1.400000,2.000000,0.000000,-37.313433,6.269097
0.020000,3.119472,3.063036,1.440000,2.000000,0.000000,0.000000,6.267877
0.020000,3.159467,3.062399,1.480000,2.000000,0.000000,0.000000,6.266611
0.020000,3.199461,3.061709,1.520000,2.000000,0.000000,0.000000,6.265300
0.020000,3.239454,3.060967,1.560000,2.000000,0.000000,0.000000,6.263943
0.020000,3.279447,3.060170,1.600000,2.000000,0.000000,0.000000,6.262541
0.020000,3.319437,3.059315,1.640000,2.000000,0.000000,0.000000,6.261093
0.020000,3.359427,3.058402,1.680000,2.000000,0.000000,0.000000,6.259600
0.020000,3.399415,3.057428,1.720000,2.000000,0.000000,0.000000,6.258061
0.020000,3.439402,3.056391,1.760000,2.000000,0.000000,0.000000,6.256477
0.020000,3.479387,3.055291,1.800000,2.000000,0.000000,0.000000,6.254848
0.020000,3.519369,3.054124,1.840000,2.000000,0.000000,0.000000,6.253173
0.020000,3.559350,3.052890,1.880000,2.000000,0.000000,0.000000,6.251452
0.020000,3.599329,3.051585,1.920000,2.000000,0.000000,0.000000,6.249687
0.020000,3.639305,3.050210,1.960000,2.000000,0.000000,0.000000,6.247875
0.020000,3.679279,3.048761,2.000000,2.000000,0.000000,0.000000,6.246019
0.020000,3.719250,3.047236,2.040000,2.000000,0.000000,0.000000,6.244117
0.020000,3.759218,3.045635,2.080000,2.000000,0.000000,0.000000,6.242170
0.020000,3.799183,3.043955,2.120000,2.000000,0.000000,0.000000,6.240178
0.020000,3.839144,3.042195,2.160000,2.000000,0.000000,0.000000,6.238141
0.020000,3.879102,3.040353,2.200000,2.000000,0.000000,0.000000,6.236058
0.020000,3.919055,3.038426,2.240000,2.000000,0.000000,0.000000,6.233931
0.020000,3.959004,3.036413,2.280000,2.000000,0.000000,0.000000,6.231758
0.020000,3.998949,3.034313,2.320000,2.000000,0.000000,0.000000,6.229540
0.020000,4.038889,3.032123,2.360000,2.000000,0.000000,0.000000,6.227278
0.020000,4.078824,3.029842,2.400000,2.000000,0.000000,0.000000,6.224971
0.020000,4.118754,3.027468,2.440000,2.000000,0.000000,0.000000,6.222619
0.020000,4.158677,3.024999,2.480000,2.000000,0.000000,0.000000,6.220222
0.020000,4.198595,3.022434,2.520000,2.000000,0.000000,0.000000,6.217780
0.020000,4.238506,3.019770,2.560000,2.000000,0.000000,0.000000,6.215294
0.020000,4.278411,3.017006,2.600000,2.000000,0.000000,0.000000,6.212764
0.020000,4.318308,3.014140,2.640000,2.000000,0.000000,0.000000,6.210189
0.020000,4.358197,3.011171,2.680000,2.000000,0.000000,0.000000,6.207571
0.020000,4.398079,3.008096,2.720000,2.000000,0.000000,0.000000,6.204908
0.020000,4.434944,3.005070,2.760000,2.000000,0.000000,0.000000,6.194790
0.020000,4.474758,3.001216,2.800000,2.000000,0.000000,0.000000,6.178479
0.020000,4.514501,2.996700,2.840000,2.000000,0.000000,0.000000,6.161478
0.020000,4.554160,2.991494,2.880000,2.000000,0.000000,0.000000,6.143755
0.020000,4.593719,2.985572,2.920000,2.000000,0.000000,0.000000,6.125276
0.020000,4.633159,2.978904,2.960000,2.000000,0.000000,0.000000,6.106007
0.020000,4.672460,2.971462,3.000000,2.000000,0.000000,0.000000,6.085916
0.020000,4.711600,2.963215,3.040000,2.000000,0.000000,0.000000,6.064970
0.020000,4.750554,2.954133,3.080000,2.000000,0.000000,0.000000,6.043137
0.020000,4.789296,2.944185,3.120000,2.000000,0.000000,0.000000,6.020388
0.020000,4.827797,2.933340,3.160000,2.000000,0.000000,0.000000,5.996699
0.020000,4.866025,2.921568,3.200000,2.000000,0.000000,0.000000,5.972048
0.020000,4.903944,2.908839,3.240000,2.000000,0.000000,0.000000,5.946417
0.020000,4.941518,2.895123,3.280000,2.000000,0.000000,0.000000,5.919797
0.020000,4.978706,2.880394,3.320000,2.000000,0.000000,0.000000,5.892186
0.020000,5.015465,2.864626,3.360000,2.000000,0.000000,0.000000,5.863591
0.020000,5.051751,2.847796,3.400000,2.000000,0.000000,0.000000,5.834031
0.020000,5.087514,2.829884,3.440000,2.000000,0.000000,0.000000,5.803535
0.020000,5.122706,2.810874,3.480000,2.000000,0.000000,0.000000,5.772147
0.020000,5.157276,2.790754,3.520000,2.000000,0.000000,0.000000,5.739923
0.020000,5.191171,2.769518,3.560000,2.000000,0.000000,0.000000,5.706935
0.020000,5.224340,2.747164,3.600000,2.000000,0.000000,0.000000,5.673269
0.020000,5.256730,2.723697,3.640000,2.000000,0.000000,0.000000,5.639025
0.020000,5.288291,2.699126,3.680000,2.000000,0.000000,0.000000,5.604314
0.020000,5.318977,2.673470,3.720000,2.000000,0.000000,0.000000,5.569260
0.020000,5.348741,2.646750,3.760000,2.000000,0.000000,0.000000,5.533994
0.020000,5.377471,2.619069,3.799898,1.989773,-0.511345,-25.567242,5.498742
0.020000,5.404966,2.590651,3.839442,1.964621,-1.257614,-37.313433,5.463862
0.020000,5.431095,2.561709,3.878436,1.934770,-1.492537,-11.746190,5.429656
0.020000,5.455845,2.532356,3.916832,1.904919,-1.492537,0.000000,5.396277
0.020000,5.479247,2.502673,3.954632,1.875069,-1.492537,-0.000000,5.363817
0.020000,5.501334,2.472738,3.991835,1.845218,-1.492537,0.000000,5.332355
0.020000,5.522144,2.442625,4.028441,1.815367,-1.492537,-0.000000,5.301949
0.020000,5.541722,2.412405,4.064450,1.785516,-1.492537,0.000000,5.272641
0.020000,5.560113,2.382145,4.099862,1.755666,-1.492537,0.000000,5.244458
0.020000,5.577366,2.351906,4.134677,1.725815,-1.492537,-0.000000,5.217413
0.020000,5.593530,2.321748,4.168894,1.695964,-1.492537,0.000000,5.191506
0.020000,5.608656,2.291723,4.202515,1.666113,-1.492537,0.000000,5.166729
0.020000,5.622795,2.261880,4.235539,1.636263,-1.492537,-0.000000,5.143062
0.020000,5.635997,2.232264,4.267966,1.606412,-1.492537,0.000000,5.120482
0.020000,5.648312,2.202913,4.299795,1.576561,-1.492537,-0.000000,5.098957
0.020000,5.659788,2.173866,4.331028,1.546710,-1.492537,0.000000,5.078454
0.020000,5.670473,2.145154,4.361664,1.516860,-1.492537,0.000000,5.058936
0.020000,5.680411,2.116808,4.391702,1.487009,-1.492537,-0.000000,5.040364
0.020000,5.689647,2.088853,4.421144,1.457158,-1.492537,0.000000,5.022698
0.020000,5.698223,2.061313,4.449989,1.427307,-1.492537,-0.000000,5.005900
0.020000,5.706178,2.034209,4.478236,1.397457,-1.492537,0.000000,4.989928
0.020000,5.713551,2.007560,4.505887,1.367606,-1.492537,0.000000,4.974745
0.020000,5.720378,1.981382,4.532941,1.337755,-1.492537,-0.000000,4.960312
0.020000,5.726693,1.955690,4.559397,1.307904,-1.492537,0.000000,4.946593
0.020000,5.732529,1.930498,4.585257,1.278054,-1.492537,0.000000,4.933553
0.020000,5.737917,1.905817,4.610519,1.248203,-1.492537,-0.000000,4.921157
0.020000,5.742886,1.881657,4.635185,1.218352,-1.492537,0.000000,4.909375
0.020000,5.747464,1.858028,4.659253,1.188501,-1.492537,-0.000000,4.898174
0.020000,5.751676,1.834938,4.682725,1.158651,-1.492537,0.000000,4.887526
0.020000,5.755548,1.812393,4.705599,1.128800,-1.492537,0.000000,4.877405
0.020000,5.759101,1.790401,4.727877,1.098949,-1.492537,-0.000000,4.867783
0.020000,5.762358,1.768967,4.749557,1.069098,-1.492537,0.000000,4.858638
0.020000,5.765339,1.748095,4.770641,1.039248,-1.492537,-0.000000,4.849945
