dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.682218,2.730458,0.000149,0.014925,0.746269,37.313433,6.283160
0.020000,1.682220,2.730458,0.000151,0.000099,-0.741334,-74.380140,6.283166
0.020000,1.682224,2.730458,0.000155,0.000197,0.004909,37.312155,6.283178
0.020000,1.683230,2.730458,0.001162,0.050320,2.506170,125.063075,0.000010
0.020000,1.685626,2.730458,0.003557,0.119793,3.473618,48.372376,0.000033
0.020000,1.688621,2.730459,0.006552,0.149737,1.497216,-98.820092,0.000062
0.020000,1.692214,2.730459,0.010146,0.179679,1.497089,-0.006376,0.000096
0.020000,1.696406,2.730459,0.014338,0.209617,1.496935,-0.007660,0.000135
0.020000,1.701198,2.730460,0.019129,0.239553,1.496756,-0.008953,0.000179
0.020000,1.706587,2.730461,0.024519,0.269484,1.496552,-0.010229,0.000229
0.020000,1.712575,2.730463,0.030507,0.299410,1.496322,-0.011483,0.000282
0.020000,1.719162,2.730465,0.037094,0.329331,1.496066,-0.012798,0.000340
0.020000,1.726347,2.730467,0.044279,0.359247,1.495786,-0.014003,0.000402
0.020000,1.734130,2.730471,0.052062,0.389157,1.495479,-0.015369,0.000467
0.020000,1.742511,2.730475,0.060443,0.419060,1.495147,-0.016597,0.000535
0.020000,1.751490,2.730480,0.069422,0.448955,1.494789,-0.017902,0.000606
0.020000,1.761067,2.730486,0.078999,0.478844,1.494406,-0.019121,0.000679
0.020000,1.771242,2.730494,0.089173,0.508723,1.493997,-0.020466,0.000754
0.020000,1.782014,2.730502,0.099945,0.538595,1.493563,-0.021697,0.000830
0.020000,1.793383,2.730512,0.111314,0.568457,1.493103,-0.022997,0.000907
0.020000,1.805349,2.730523,0.123281,0.598309,1.492618,-0.024253,0.000984
0.020000,1.817912,2.730536,0.135844,0.628151,1.492106,-0.025585,0.001061
0.020000,1.831072,2.730551,0.149003,0.657983,1.491571,-0.026777,0.001136
0.020000,1.844828,2.730567,0.162759,0.687803,1.491009,-0.028113,0.001209
0.020000,1.859180,2.730585,0.177112,0.717611,1.490421,-0.029371,0.001280
0.020000,1.874128,2.730604,0.192060,0.747407,1.489808,-0.030644,0.001348
0.020000,1.889672,2.730626,0.207603,0.777191,1.489169,-0.031942,0.001412
0.020000,1.905811,2.730649,0.223743,0.806961,1.488506,-0.033191,0.001470
0.020000,1.922545,2.730674,0.240477,0.836717,1.487816,-0.034477,0.001524
0.020000,1.939874,2.730701,0.257806,0.866459,1.487101,-0.035762,0.001570
0.020000,1.957798,2.730729,0.275730,0.896186,1.486360,-0.037034,0.001610
0.020000,1.976316,2.730760,0.294248,0.925898,1.485594,-0.038307,0.001641
0.020000,1.995428,2.730791,0.313360,0.955594,1.484802,-0.039588,0.001663
0.020000,2.015133,2.730824,0.333065,0.985274,1.483985,-0.040866,0.001675
0.020000,2.035432,2.730858,0.353364,1.014937,1.483142,-0.042144,0.001676
0.020000,2.056324,2.730893,0.374256,1.044582,1.482274,-0.043421,0.001664
0.020000,2.077808,2.730929,0.395740,1.074210,1.481380,-0.044700,0.001639
0.020000,2.099884,2.730964,0.417816,1.103819,1.480460,-0.045982,0.001600
0.020000,2.122552,2.731000,0.440484,1.133409,1.479515,-0.047262,0.001546
0.020000,2.145812,2.731035,0.463744,1.162980,1.478544,-0.048525,0.001474
0.020000,2.169663,2.731069,0.487595,1.192531,1.477547,-0.049838,0.001385
0.020000,2.194104,2.731102,0.512036,1.222062,1.476526,-0.051094,0.001277
0.020000,2.219135,2.731132,0.537067,1.251571,1.475478,-0.052381,0.001149
0.020000,2.244756,2.731160,0.562689,1.281059,1.474404,-0.053681,0.000999
0.020000,2.270967,2.731184,0.588899,1.310526,1.473306,-0.054922,0.000826
0.020000,2.297766,2.731203,0.615698,1.339969,1.472181,-0.056264,0.000629
0.020000,2.325154,2.731218,0.643086,1.369390,1.471031,-0.057505,0.000407
0.020000,2.353130,2.731226,0.671062,1.398787,1.469854,-0.058813,0.000157
