dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.712634,3.403558,0.000149,0.014925,0.746269,37.313433,6.281956
0.020000,1.712564,3.403558,0.000220,0.003525,-0.570027,-65.814784,6.282166
0.020000,1.712423,3.403558,0.000361,0.007047,0.176119,37.307301,6.282585
0.020000,1.712289,3.403558,0.000495,0.006705,-0.017114,-9.661670,0.000027
0.020000,1.714395,3.403559,0.002601,0.105331,4.931323,247.421873,0.000864
0.020000,1.717029,3.403563,0.005235,0.131674,1.317131,-180.709623,0.001908
0.020000,1.720189,3.403571,0.008395,0.158030,1.317792,0.033068,0.003161
0.020000,1.723877,3.403585,0.012083,0.184398,1.318423,0.031550,0.004620
0.020000,1.728093,3.403608,0.016299,0.210778,1.318985,0.028101,0.006285
0.020000,1.732836,3.403643,0.021043,0.237185,1.320371,0.069278,0.008156
0.020000,1.738108,3.403691,0.026315,0.263596,1.320538,0.008352,0.010230
0.020000,1.743909,3.403757,0.032116,0.290044,1.322371,0.091651,0.012507
0.020000,1.750238,3.403844,0.038446,0.316507,1.323164,0.039684,0.014985
0.020000,1.757097,3.403956,0.045306,0.342997,1.324485,0.066035,0.017663
0.020000,1.764486,3.404097,0.052696,0.369523,1.326335,0.092482,0.020539
0.020000,1.772406,3.404272,0.060618,0.396077,1.327683,0.067427,0.023610
0.020000,1.780857,3.404485,0.069071,0.422668,1.329561,0.093876,0.026875
0.020000,1.789839,3.404742,0.078057,0.449297,1.331465,0.095225,0.030332
0.020000,1.799353,3.405048,0.087576,0.475974,1.333835,0.118482,0.033977
0.020000,1.809401,3.405409,0.097630,0.502699,1.336223,0.119406,0.037808
0.020000,1.819982,3.405831,0.108220,0.529472,1.338657,0.121710,0.041822
0.020000,1.831097,3.406319,0.119346,0.556295,1.341166,0.125423,0.046015
0.020000,1.842747,3.406881,0.131010,0.583190,1.344757,0.179569,0.050385
0.020000,1.854933,3.407524,0.143212,0.610139,1.347424,0.133352,0.054927
0.020000,1.867656,3.408253,0.155955,0.637159,1.351033,0.180447,0.059637
0.020000,1.880915,3.409077,0.169241,0.664254,1.354734,0.185044,0.064511
0.020000,1.894712,3.410004,0.183069,0.691425,1.358559,0.191239,0.069544
0.020000,1.909049,3.411040,0.197443,0.718683,1.362890,0.216563,0.074731
0.020000,1.923925,3.412193,0.212363,0.746027,1.367180,0.214520,0.080067
0.020000,1.939341,3.413473,0.227833,0.773469,1.372114,0.246690,0.085546
0.020000,1.955299,3.414887,0.243853,0.801007,1.376899,0.239229,0.091163
0.020000,1.971798,3.416443,0.260426,0.828651,1.382195,0.264815,0.096910
0.020000,1.988841,3.418150,0.277554,0.856408,1.387844,0.282467,0.102783
0.020000,2.006428,3.420018,0.295240,0.884282,1.393705,0.293055,0.108772
0.020000,2.024560,3.422054,0.313485,0.912276,1.399730,0.301230,0.114872
0.020000,2.043237,3.424268,0.332293,0.940400,1.406190,0.323019,0.121075
0.020000,2.062461,3.426668,0.351666,0.968660,1.412988,0.339886,0.127372
0.020000,2.082232,3.429265,0.371607,0.997060,1.419990,0.350113,0.133755
0.020000,2.102552,3.432066,0.392120,1.025604,1.427222,0.361598,0.140216
0.020000,2.123421,3.435081,0.413206,1.054300,1.434797,0.378710,0.146746
0.020000,2.144841,3.438320,0.434869,1.083155,1.442729,0.396605,0.153335
0.020000,2.166812,3.441790,0.457112,1.112171,1.450835,0.405318,0.159973
0.020000,2.189335,3.445502,0.479939,1.141355,1.459189,0.417705,0.166651
0.020000,2.212412,3.449463,0.503353,1.170712,1.467838,0.432425,0.173359
0.020000,2.236043,3.453684,0.527358,1.200248,1.476782,0.447215,0.180085
0.020000,2.260230,3.458172,0.551958,1.229964,1.485847,0.453244,0.186819
0.020000,2.284973,3.462935,0.577155,1.259869,1.495218,0.468585,0.193549
0.020000,2.310273,3.467983,0.602954,1.289964,1.504748,0.476485,0.200266
0.020000,2.336133,3.473323,0.629359,1.320254,1.514509,0.488051,0.206956
0.020000,2.362552,3.478962,0.656374,1.350743,1.524436,0.496336,0.213608
0.020000,2.389534,3.484909,0.684003,1.381433,1.534535,0.504956,0.220211
0.020000,2.417078,3.491169,0.712249,1.412329,1.544791,0.512798,0.226751
0.020000,2.445186,3.497751,0.741118,1.443433,1.555192,0.520060,0.233217
0.020000,2.473860,3.504659,0.770613,1.474747,1.565721,0.526451,0.239595
0.020000,2.503103,3.511901,0.800739,1.506275,1.576359,0.531892,0.245875
