dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.712221,3.067008,0.000149,0.014925,0.746269,37.313433,6.281956
0.020000,1.712221,3.067008,0.000746,0.044776,1.492537,37.313433,6.282166
0.020000,1.712221,3.067008,0.001940,0.074627,1.492537,0.000000,6.282585
0.020000,1.712298,3.067008,0.003731,0.104478,1.492537,0.000000,0.000027
0.020000,1.714686,3.067009,0.006119,0.134328,1.492537,0.000000,0.000864
0.020000,1.717671,3.067014,0.009104,0.164179,1.492537,0.000000,0.001908
0.020000,1.721253,3.067023,0.012687,0.194030,1.492537,0.000000,0.003161
0.020000,1.725432,3.067039,0.016866,0.223881,1.492537,0.000000,0.004620
0.020000,1.730208,3.067065,0.021642,0.253731,1.492537,0.000000,0.006285
0.020000,1.735581,3.067104,0.027015,0.283582,1.492537,-0.000000,0.008156
0.020000,1.741551,3.067159,0.032985,0.313433,1.492537,0.000000,0.010230
0.020000,1.748118,3.067233,0.039552,0.343284,1.492537,-0.000000,0.012507
0.020000,1.755281,3.067332,0.046716,0.373134,1.492537,0.000000,0.014985
0.020000,1.763041,3.067459,0.054478,0.402985,1.492537,-0.000000,0.017663
0.020000,1.771398,3.067618,0.062836,0.432836,1.492537,0.000000,0.020539
0.020000,1.780351,3.067816,0.071791,0.462687,1.492537,0.000000,0.023610
0.020000,1.789900,3.068057,0.081343,0.492537,1.492537,-0.000000,0.026875
0.020000,1.800045,3.068347,0.091493,0.522388,1.492537,0.000000,0.030332
0.020000,1.810786,3.068693,0.102239,0.552239,1.492537,0.000000,0.033977
0.020000,1.822122,3.069100,0.113582,0.582090,1.492537,-0.000000,0.037808
0.020000,1.834053,3.069575,0.125522,0.611940,1.492537,0.000000,0.041822
0.020000,1.846578,3.070126,0.138060,0.641791,1.492537,0.000000,0.046015
0.020000,1.859697,3.070758,0.151194,0.671642,1.492537,0.000000,0.050385
0.020000,1.873410,3.071481,0.164925,0.701493,1.492537,-0.000000,0.054927
0.020000,1.887714,3.072301,0.179254,0.731343,1.492537,0.000000,0.059637
0.020000,1.902611,3.073227,0.194179,0.761194,1.492537,0.000000,0.064511
0.020000,1.918099,3.074267,0.209701,0.791045,1.492537,0.000000,0.069544
0.020000,1.934176,3.075429,0.225821,0.820896,1.492537,0.000000,0.074731
0.020000,1.950842,3.076722,0.242537,0.850746,1.492537,-0.000000,0.080067
0.020000,1.968096,3.078154,0.259851,0.880597,1.492537,0.000000,0.085546
0.020000,1.985937,3.079734,0.277761,0.910448,1.492537,0.000000,0.091163
0.020000,2.004363,3.081472,0.296269,0.940299,1.492537,0.000000,0.096910
0.020000,2.023372,3.083376,0.315373,0.970149,1.492537,-0.000000,0.102783
0.020000,2.042963,3.085457,0.335075,1.000000,1.492537,0.000000,0.108772
0.020000,2.063135,3.087722,0.355373,1.029851,1.492537,0.000000,0.114872
0.020000,2.083885,3.090181,0.376269,1.059701,1.492537,-0.000000,0.121075
0.020000,2.105212,3.092845,0.397761,1.089552,1.492537,0.000000,0.127372
0.020000,2.127113,3.095721,0.419851,1.119403,1.492537,-0.000000,0.133755
0.020000,2.149587,3.098819,0.442537,1.149254,1.492537,0.000000,0.140216
0.020000,2.172632,3.102148,0.465821,1.179104,1.492537,0.000000,0.146746
0.020000,2.196244,3.105718,0.489701,1.208955,1.492537,-0.000000,0.153335
0.020000,2.220422,3.109537,0.514179,1.238806,1.492537,0.000000,0.159973
0.020000,2.245163,3.113614,0.539254,1.268657,1.492537,0.000000,0.166651
0.020000,2.270464,3.117958,0.564925,1.298507,1.492537,-0.000000,0.173359
0.020000,2.296323,3.122576,0.591194,1.328358,1.492537,0.000000,0.180085
0.020000,2.322738,3.127478,0.618060,1.358209,1.492537,-0.000000,0.186819
0.020000,2.349706,3.132669,0.645522,1.388060,1.492537,0.000000,0.193549
0.020000,2.377223,3.138159,0.673582,1.417910,1.492537,0.000000,0.200266
0.020000,2.405288,3.143954,0.702239,1.447761,1.492537,-0.000000,0.206956
0.020000,2.433897,3.150061,0.731493,1.477612,1.492537,0.000000,0.213608
0.020000,2.463048,3.156486,0.761343,1.507463,1.492537,-0.000000,0.220211
0.020000,2.492738,3.163234,0.791791,1.537313,1.492537,0.000000,0.226751
0.020000,2.522965,3.170312,0.822836,1.567164,1.492537,0.000000,0.233217
0.020000,2.553727,3.177723,0.854478,1.597015,1.492537,-0.000000,0.239595
0.020000,2.585021,3.185473,0.886716,1.626866,1.492537,0.000000,0.245875
0.020000,2.616844,3.193564,0.919552,1.656716,1.492537,-0.000000,0.252041
0.020000,2.649195,3.202000,0.952985,1.686567,1.492537,0.000000,0.258083
0.020000,2.682072,3.210783,0.987015,1.716418,1.492537,0.000000,0.263986
0.020000,2.715473,3.219915,1.021642,1.746269,1.492537,-0.000000,0.269738
0.020000,2.749396,3.229397,1.056866,1.776119,1.492537,0.000000,0.275325
0.020000,2.783841,3.239229,1.092687,1.805970,1.492537,0.000000,0.280734
0.020000,2.818807,3.249411,1.129104,1.835821,1.492537,-0.000000,0.285952
0.020000,2.854292,3.259942,1.166119,1.865672,1.492537,0.000000,0.290965
