dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.711807,2.730459,0.000149,0.014925,0.746269,37.313433,6.281956
0.020000,1.711878,2.730459,0.000220,0.003525,-0.570027,-65.814784,6.282166
0.020000,1.712018,2.730458,0.000361,0.007047,0.176119,37.307301,6.282585
0.020000,1.712307,2.730458,0.000649,0.014425,0.368868,9.637426,0.000027
0.020000,1.714977,2.730460,0.003319,0.133485,5.953017,279.207495,0.000864
0.020000,1.718313,2.730464,0.006656,0.166835,1.667499,-214.275916,0.001908
0.020000,1.722317,2.730474,0.010659,0.200179,1.667200,-0.014950,0.003161
0.020000,1.726987,2.730493,0.015329,0.233511,1.666619,-0.029069,0.004620
0.020000,1.732324,2.730522,0.020666,0.266825,1.665697,-0.046061,0.006285
0.020000,1.738326,2.730565,0.026669,0.300136,1.665556,-0.007081,0.008156
0.020000,1.744994,2.730626,0.033337,0.333408,1.663598,-0.097894,0.010230
0.020000,1.752327,2.730710,0.040670,0.366678,1.663461,-0.006860,0.012507
0.020000,1.760325,2.730820,0.048669,0.399912,1.661708,-0.087644,0.014985
0.020000,1.768986,2.730961,0.057331,0.433118,1.660306,-0.070112,0.017663
0.020000,1.778310,2.731139,0.066657,0.466303,1.659239,-0.053339,0.020539
0.020000,1.788297,2.731360,0.076646,0.499446,1.657190,-0.102434,0.023610
0.020000,1.798944,2.731628,0.087297,0.532555,1.655442,-0.087406,0.026875
0.020000,1.810252,2.731952,0.098609,0.565622,1.653342,-0.104991,0.030332
0.020000,1.822219,2.732337,0.110582,0.598651,1.651423,-0.095964,0.033977
0.020000,1.834843,2.732790,0.123215,0.631633,1.649102,-0.116064,0.037808
0.020000,1.848124,2.733319,0.136506,0.664560,1.646394,-0.135391,0.041822
0.020000,1.862059,2.733932,0.150455,0.697427,1.643316,-0.153916,0.046015
0.020000,1.876647,2.734636,0.165060,0.730249,1.641110,-0.110288,0.050385
0.020000,1.891886,2.735439,0.180320,0.762994,1.637241,-0.193440,0.054927
0.020000,1.907773,2.736350,0.196233,0.795674,1.634028,-0.160652,0.059637
0.020000,1.924307,2.737377,0.212799,0.828282,1.630386,-0.182081,0.064511
0.020000,1.941485,2.738531,0.230015,0.860809,1.626339,-0.202371,0.069544
0.020000,1.959303,2.739818,0.247880,0.893256,1.622345,-0.199705,0.074731
0.020000,1.977760,2.741250,0.266392,0.925610,1.617707,-0.231900,0.080067
0.020000,1.996852,2.742834,0.285550,0.957875,1.613260,-0.222324,0.085546
0.020000,2.016575,2.744582,0.305351,0.990035,1.608009,-0.262552,0.091163
0.020000,2.036927,2.746501,0.325792,1.022091,1.602762,-0.262349,0.096910
0.020000,2.057903,2.748603,0.346873,1.054037,1.597312,-0.272496,0.102783
0.020000,2.079498,2.750896,0.368590,1.085866,1.591479,-0.291696,0.108772
0.020000,2.101710,2.753390,0.390942,1.117570,1.585198,-0.314014,0.114872
0.020000,2.124533,2.756095,0.413925,1.149146,1.578804,-0.319710,0.121075
0.020000,2.147963,2.759021,0.437537,1.180590,1.572175,-0.331466,0.127372
0.020000,2.171995,2.762177,0.461774,1.211893,1.565152,-0.351146,0.133755
0.020000,2.196623,2.765572,0.486635,1.243048,1.557774,-0.368916,0.140216
0.020000,2.221842,2.769216,0.512116,1.274052,1.550186,-0.379388,0.146746
0.020000,2.247647,2.773117,0.538214,1.304900,1.542418,-0.388377,0.153335
0.020000,2.274031,2.777285,0.564926,1.335586,1.534264,-0.407724,0.159973
0.020000,2.300990,2.781727,0.592248,1.366102,1.525829,-0.421730,0.166651
0.020000,2.328516,2.786452,0.620177,1.396446,1.517190,-0.431962,0.173359
0.020000,2.356604,2.791469,0.648709,1.426613,1.508369,-0.441062,0.180085
